id,commune,opening_hours
1376,"Sétif","Non renseigné"
1377,"Constantine","dimanche: 08:00–12:0013:00–17:00"
1378,"Route Merj Edib، Skikda","dimanche: 09:00–17:00"
1379,"P I 57 LOG BT A N 06 B HAMADI AHMED SET","dimanche: 08:00–17:00"
138,"Tlemcen","dimanche: 09:00–21:00 | lundi: 09:00–21:00 | mardi: 09:00–21:00 | mercredi: 09:00–21:00 | jeudi: 09:00–21:00 | vendredi: Fermé | samedi: 09:00–21:00"
1380,"Setif","dimanche: 08:00–17:00"
1381,"Birkhadem","dimanche: 09:00–18:00"
1382,"Cité Bachdjerah 1 bat","dimanche: 08:30–21:30 | lundi: 08:30–21:30 | mardi: 08:30–21:30 | mercredi: 08:30–21:30 | jeudi: 08:30–21:30 | vendredi: 09:00–20:30 | samedi: 08:30–21:30"
1383,"El Bouni","dimanche: 09:00–16:00 | lundi: 09:00–16:00 | mardi: 09:00–16:00 | mercredi: 09:00–16:00 | jeudi: 09:00–16:00 | vendredi: Fermé | samedi: 09:00–16:00"
1384,"Sétif","dimanche: 08:00–17:00"
1385,"Cité Sorecal،","dimanche: 08:00–16:00"
1387,"Sidi Mabrouk، Constantine","Non renseigné"
1388,"Constantine","dimanche: Ouvert 24h/24"
1389,"Oran","dimanche: 09:00–18:00"
139,"Béjaïa","dimanche: 09:00–15:00 | lundi: 09:00–15:00 | mardi: 09:00–15:00 | mercredi: 09:00–15:00 | jeudi: 09:00–15:00 | vendredi: Fermé | samedi: 09:00–15:00"
1390,"Constantine","dimanche: 08:00–16:00"
1392,"N81 Rn16 près du rond-point 400","dimanche: 09:00–16:00"
1393,"Annaba","dimanche: 09:00–17:00"
1394,"Hussein Dey","dimanche: 09:00–15:00 | lundi: 09:00–15:00 | mardi: 09:00–15:00 | mercredi: 09:00–15:00 | jeudi: Fermé | vendredi: Fermé | samedi: 09:00–15:00"
1395,"Constantine","dimanche: 08:00–17:00"
1396,"Skikda","dimanche: 08:30–15:00"
1397,"Sétif","dimanche: 09:00–16:00 | lundi: 09:00–16:00 | mardi: 09:00–16:00 | mercredi: 09:00–16:00 | jeudi: 09:00–12:00 | vendredi: Fermé | samedi: 09:00–16:00"
1398,"Sétif","dimanche: 08:30–18:00"
1399,"Constantine","dimanche: 06:00–17:00"
140,"ex Fromoncost","dimanche: 09:00–16:00"
1400,"Sétif","dimanche: 09:00–17:00"
1401,"Hydra","dimanche: 08:30–21:00"
1402,"Annaba","dimanche: 09:00–17:00"
1404,"Constantine","dimanche: 08:30–17:00"
1406,"Constantine","Non renseigné"
1407,"El Khroub","dimanche: 08:00–16:00"
1408,"Constantine","dimanche: 09:30–18:30"
1409,"Sétif","dimanche: 07:30–18:30"
1410,"Cite 480 logements oued forcha","dimanche: 09:00–17:00"
1411,"Constantine","dimanche: 10:00–22:00 | lundi: 10:00–22:00 | mardi: 10:00–22:00 | mercredi: 10:00–22:00 | jeudi: 10:00–22:00 | vendredi: Fermé | samedi: 10:00–22:00"
1412,"Oran","dimanche: 08:30–20:00"
1413,"El Khroub","dimanche: 09:00–22:30"
1414,"Annaba","dimanche: 09:00–17:00"
1415,"Kouba","dimanche: 09:00–23:30"
1416,"cité oued forsha batiment 33 n°644","dimanche: 09:00–17:00"
1417,"Annaba","dimanche: 08:00–17:00"
1418,"Collo","dimanche: 08:30–17:00"
1419,"Birkhadem","Non renseigné"
142,"44 avenue sidi chahmi Ibn Sina (Savignon","dimanche: 08:00–00:00"
1420,"Skikda","dimanche: 09:00–19:00"
1421,"Annaba","dimanche: 09:00–19:00"
1423,"Sidi MHamed","dimanche: 08:00–18:00"
1424,"Skikda","dimanche: 09:00–17:00"
1425,"Sétif","dimanche: 08:00–22:00"
1426,"Annaba","Non renseigné"
1427,"Réghaïa","dimanche: 09:00–17:00"
1428,"Alger Centre","dimanche: 08:00–18:00"
1429,"Kouba","dimanche: 08:30–20:00"
143,"Oran","dimanche: 08:00–00:00"
1431,"Sétif","dimanche: 09:00–17:00"
1432,"Sidi Amar","dimanche: 08:00–16:00"
1433,"Hydra","dimanche: 08:00–19:00 | lundi: 08:00–19:00 | mardi: 08:00–19:00 | mercredi: 08:00–19:00 | jeudi: 08:00–17:00 | vendredi: 09:00–18:00 | samedi: 08:00–19:00"
1434,"Sétif","dimanche: 08:00–17:00"
1436,"Guelma","dimanche: 08:30–16:00"
1437,"Annaba","dimanche: 09:00–17:00"
1438,"Ain birr","dimanche: 19:00–23:00"
1439,"Annaba","dimanche: 09:00–12:0013:00–17:00"
144,"Annaba","Non renseigné"
1440,"Annaba","dimanche: 08:30–17:00"
1441,"Constantine","dimanche: 08:30–20:00"
